batch,BM,w_min,BI,f_w_min,f_BI
0,2017-01-04 17:29:00,2 days 01:52:06.999999600,,2 days 01:52:06.999999,
0,2017-01-08 17:30:00,2 days 01:52:06.999999600,4 days 00:01:00,2 days 01:52:06.999999,4 days 00:01:00
1,2017-01-12 17:31:00,2 days 01:52:06.999999600,4 days 00:01:00,2 days 01:52:06.999999,4 days 00:01:00
2,2017-01-16 17:32:00,3 days 03:22:37.999999200,4 days 00:01:00,2 days 01:52:06.999999,4 days 00:01:00
3,2017-01-19 17:31:00,2 days 01:55:31.000000800,2 days 23:59:00,2 days 02:01:17.985999,4 days 00:01:00
4,2017-01-23 17:32:00,3 days 05:19:18.000001200,4 days 00:01:00,2 days 02:01:15.904083,4 days 00:00:51.348000
5,2017-01-26 17:30:00,2 days 02:39:02.000001600,2 days 23:58:00,2 days 02:11:05.596659,4 days 00:00:51.348865
6,2017-01-30 17:31:00,3 days 02:54:14.000000400,4 days 00:01:00,2 days 02:11:15.655079,4 days 00:00:42.691730
7,2017-02-02 17:32:00,2 days 00:43:26.000000400,3 days 00:01:00,2 days 02:20:09.525148,4 days 00:00:42.693461
8,2017-02-06 17:31:00,3 days 03:05:17.999998800,3 days 23:59:00,2 days 02:19:34.703997,4 days 00:00:34.055191
9,2017-02-09 17:31:00,2 days 01:33:47.999998800,3 days 00:00:00,2 days 02:28:29.563773,4 days 00:00:34.045786
10,2017-02-13 17:32:00,3 days 04:29:12.000001200,4 days 00:01:00,2 days 02:28:09.874391,4 days 00:00:25.402381
11,2017-02-16 17:31:00,2 days 06:38:44.000001600,2 days 23:59:00,2 days 02:37:31.847144,4 days 00:00:25.405841
12,2017-02-20 17:31:00,3 days 01:13:04.000000800,4 days 00:00:00,2 days 02:38:58.680061,4 days 00:00:16.757300
13,2017-02-23 17:32:00,2 days 02:22:41.999998800,3 days 00:01:00,2 days 02:47:06.151981,4 days 00:00:16.755625
14,2017-02-27 17:30:00,4 days 03:14:35.000001600,3 days 23:58:00,2 days 02:46:57.367069,4 days 00:00:08.119949
15,2017-03-02 17:31:00,2 days 05:19:00.999998400,3 days 00:01:00,2 days 03:04:24.112867,4 days 00:00:08.107137
16,2017-03-06 17:31:00,3 days 04:53:12.000001200,4 days 00:00:00,2 days 03:05:12.574190,3 days 23:59:59.472326
17,2017-03-09 17:31:00,2 days 02:29:09.999999600,3 days 00:00:00,2 days 03:14:29.850744,3 days 23:59:59.472379
18,2017-03-13 17:30:00,3 days 02:55:18.999998400,3 days 23:59:00,2 days 03:14:13.531640,3 days 23:59:50.832432
19,2017-03-16 17:31:00,2 days 00:19:41.999998800,3 days 00:01:00,2 days 03:22:45.124450,3 days 23:59:50.827349
