batch,BM,w_min,BI,f_w_min,f_BI
0,1999-04-11 07:00:00,315 days 00:00:00.000000000,,315 days 00:00:00,
0,2000-04-10 07:00:00,315 days 00:00:00.000000000,365 days 00:00:00,315 days 00:00:00,365 days 00:00:00
1,2001-04-10 07:00:00,315 days 00:00:00.000000000,365 days 00:00:00,315 days 00:00:00,365 days 00:00:00
2,2002-04-10 07:00:00,315 days 00:00:00.000000000,365 days 00:00:00,315 days 00:00:00,365 days 00:00:00
3,2003-01-10 09:00:00,225 days 02:00:00.000000000,275 days 02:00:00,315 days 00:00:00,365 days 00:00:00
4,2004-01-10 09:00:00,230 days 02:00:00.000000000,365 days 00:00:00,288 days 00:36:00,338 days 00:36:00
5,2004-12-25 09:00:00,209 days 02:00:00.000000000,350 days 00:00:00,270 days 15:25:11.999999,346 days 02:49:12
6,2006-02-28 09:00:00,274 days 02:00:00.000000000,430 days 00:00:00,252 days 04:11:38.399999,347 days 06:46:26.400000
7,2007-02-28 09:00:00,274 days 02:00:00.000000000,365 days 00:00:00,258 days 17:56:08.880000,372 days 02:20:30.480000
8,2009-03-30 07:00:00,251 days 00:00:00.000000000,760 days 22:00:00,263 days 08:21:18.216000,369 days 23:14:21.336000
9,2010-10-15 07:00:00,412 days 00:00:00.000000000,564 days 00:00:00,259 days 15:26:54.751199,487 days 06:04:02.935200
10,2012-03-26 07:00:00,301 days 00:00:00.000000000,528 days 00:00:00,305 days 08:24:50.325840,510 days 06:38:50.054640
11,2013-04-24 07:00:00,330 days 00:00:00.000000000,394 days 00:00:00,304 days 01:05:23.228088,515 days 14:15:11.038248
12,2020-05-17 00:00:00,0 days 00:00:00.000000000,,311 days 19:57:46.259661,479 days 02:46:37.726773
